ID,name,gender
nm0000001,Fred Astaire,M
nm0000052,Marcello Mastroianni,M
nm0000060,Gregory Peck,M
nm0000062,Elvis Presley,M
nm0000080,Orson Welles,M
nm0000097,Pamela Anderson,F
nm0000101,Dan Aykroyd,M
nm0000102,Kevin Bacon,M
nm0000104,Antonio Banderas,M
nm0000111,Matthew Broderick,M
nm0000112,Pierce Brosnan,M
nm0000113,Sandra Bullock,F
nm0000115,Nicolas Cage,M
nm0000120,Jim Carrey,M
nm0000122,Charles Chaplin,M
nm0000123,George Clooney,M
nm0000124,Jennifer Connelly,F
nm0000125,Sean Connery,M
nm0000129,Tom Cruise,M
nm0000130,Jamie Lee Curtis,F
nm0000131,John Cusack,M
nm0000136,Johnny Depp,M
nm0000138,Leonardo DiCaprio,M
nm0000140,Michael Douglas,M
nm0000143,Erika Eleniak,F
nm0000146,Ralph Fiennes,M
nm0000148,Harrison Ford,M
nm0000152,Richard Gere,M
nm0000154,Mel Gibson,M
nm0000156,Jeff Goldblum,M
nm0000158,Tom Hanks,M
nm0000160,Ethan Hawke,M
nm0000163,Dustin Hoffman,M
nm0000165,Ron Howard,M
nm0000168,Samuel L. Jackson,M
nm0000173,Nicole Kidman,F
nm0000175,Stephen King,M
nm0000179,Jude Law,M
nm0000182,Jennifer Lopez,F
nm0000187,Madonna,F
nm0000188,Steve Martin,M
nm0000190,Matthew McConaughey,M
nm0000191,Ewan McGregor,M
nm0000194,Julianne Moore,F
nm0000195,Bill Murray,M
nm0000198,Gary Oldman,M
nm0000204,Natalie Portman,F
nm0000210,Julia Roberts,F
nm0000212,Meg Ryan,F
nm0000216,Arnold Schwarzenegger,M
nm0000217,Martin Scorsese,M
nm0000218,Kristin Scott Thomas,F
nm0000221,Charlie Sheen,M
nm0000226,Will Smith,M
nm0000232,Sharon Stone,F
nm0000234,Charlize Theron,F
nm0000242,Mark Wahlberg,M
nm0000255,Ben Affleck,M
nm0000271,Anne Archer,F
nm0000274,David Arquette,M
nm0000280,Catherine Bach,F
nm0000285,Alec Baldwin,M
nm0000293,Sean Bean,M
nm0000295,Kate Beckinsale,F
nm0000297,Tom Berenger,M
nm0000298,Candice Bergen,F
nm0000300,Juliette Binoche,F
nm0000306,Brian Blessed,M
nm0000316,Mel Brooks,M
nm0000320,Luis Buñuel,M
nm0000321,Gabriel Byrne,M
nm0000326,Kim Cattrall,F
nm0000332,Don Cheadle,M
nm0000333,Cher,F
nm0000335,Glenn Close,F
nm0000340,Cindy Crawford,F
nm0000342,James Cromwell,M
nm0000343,David Cronenberg,M
nm0000345,Billy Crystal,M
nm0000352,Vincent D'Onofrio,M
nm0000353,Willem Dafoe,M
nm0000354,Matt Damon,M
nm0000358,Daniel Day-Lewis,M
nm0000362,Danny DeVito,M
nm0000365,Julie Delpy,F
nm0000366,Catherine Deneuve,F
nm0000375,Robert Downey Jr.,M
nm0000378,Minnie Driver,F
nm0000391,Rupert Everett,M
nm0000404,Jane Fonda,F
nm0000407,Vivica A. Fox,F
nm0000410,Stephen Fry,M
nm0000413,Janeane Garofalo,F
nm0000414,Teri Garr,F
nm0000422,John Goodman,M
nm0000424,Hugh Grant,M
nm0000432,Gene Hackman,M
nm0000434,Mark Hamill,M
nm0000438,Ed Harris,M
nm0000443,Goldie Hawn,F
nm0000457,John Hurt,M
nm0000458,William Hurt,M
nm0000459,Timothy Hutton,M
nm0000460,Jeremy Irons,M
nm0000465,Ron Jeremy,M
nm0000474,Michael Keaton,M
nm0000484,John Landis,M
nm0000496,Juliette Lewis,F
nm0000502,Christopher Lloyd,M
nm0000513,William H. Macy,M
nm0000518,John Malkovich,M
nm0000528,Mathilda May,F
nm0000531,Frances McDormand,F
nm0000535,Rose McGowan,F
nm0000537,Steve McQueen,M
nm0000539,Dina Meyer,F
nm0000545,Helen Mirren,F
nm0000546,Matthew Modine,M
nm0000550,Kate Mulgrew,F
nm0000552,Eddie Murphy,M
nm0000553,Liam Neeson,M
nm0000556,Olivia Newton-John,F
nm0000557,Brigitte Nielsen,F
nm0000586,Jada Pinkett Smith,F
nm0000588,Martha Plimpton,F
nm0000598,Dennis Quaid,M
nm0000604,John C. Reilly,M
nm0000607,Paul Reubens,M
nm0000608,Burt Reynolds,M
nm0000610,Giovanni Ribisi,M
nm0000613,Joely Richardson,F
nm0000647,Alan Smithee,M
nm0000658,Meryl Streep,F
nm0000671,Billy Bob Thornton,M
nm0000684,Nana Visitor,F
nm0000695,Joanne Whalley,F
nm0000701,Kate Winslet,F
nm0000702,Reese Witherspoon,F
nm0000704,Elijah Wood,M
nm0000705,Robin Wright,F
nm0000716,Paula Abdul,F
nm0000719,F. Murray Abraham,M
nm0000728,Mario Adorf,M
nm0000756,Loni Anderson,F
nm0000768,Francesca Annis,F
nm0000809,Daniel Auteuil,M
nm0000821,Amitabh Bachchan,M
nm0000851,Lex Barker,M
nm0000852,Jean-Marc Barr,M
nm0000860,Paul Bartel,M
nm0000869,Alan Bates,M
nm0000870,Kathy Bates,F
nm0000881,Michael Bay,M
nm0000888,Meret Becker,F
nm0000893,Ed Begley Jr.,M
nm0000899,Monica Bellucci,F
nm0000905,Roberto Benigni,M
nm0000906,Annette Bening,F
nm0000909,Constance Bennett,F
nm0000912,Jack Benny,M
nm0000916,Peter Berg,M
nm0000919,Senta Berger,F
nm0000925,Steven Berkoff,M
nm0000945,Jane Birkin,F
nm0000949,Cate Blanchett,F
nm0000950,Brenda Blethyn,F
nm0000953,Peter Bogdanovich,M
nm0000954,Jon Bon Jovi,M
nm0000982,Josh Brolin,M
nm0000989,Yul Brynner,M
nm0000997,Gary Busey,M
nm0001002,Dean Cain,M
nm0001003,Simon Callow,M
nm0001014,Mariah Carey,F
nm0001018,Keith Carradine,M
nm0001023,John Cassavetes,M
nm0001048,Andrew Dice Clay,M
nm0001051,Bill Clinton,M
nm0001057,Toni Collette,F
nm0001058,Joan Collins,F
nm0001075,Peter Coyote,M
nm0001076,Joan Crawford,F
nm0001082,Billy Crudup,M
nm0001086,Alan Cumming,M
nm0001092,Mark Dacascos,M
nm0001095,Béatrice Dalle,F
nm0001097,Charles Dance,M
nm0001099,Jeff Daniels,M
nm0001116,Warwick Davis,M
nm0001136,Bruce Dern,M
nm0001141,Angie Dickinson,F
nm0001144,Céline Dion,F
nm0001160,Adrian Dunbar,M
nm0001180,Britt Ekland,F
nm0001190,David Prowse,M
nm0001208,Miguel Ferrer,M
nm0001218,Sean Patrick Flanery,M
nm0001224,Errol Flynn,M
nm0001233,Robert Forster,M
nm0001235,William Forsythe,M
nm0001241,Stephen Frears,M
nm0001248,Zsa Zsa Gabor,F
nm0001264,Sarah Michelle Gellar,F
nm0001281,Bobcat Goldthwait,M
nm0001283,Louis Gossett Jr.,M
nm0001285,Elliott Gould,M
nm0001288,Kelsey Grammer,M
nm0001290,Richard E. Grant,M
nm0001296,Lorne Greene,M
nm0001300,John Grisham,M
nm0001312,Geri Horner,F
nm0001352,Terence Hill,M
nm0001354,Ciarán Hinds,M
nm0001368,Ernie Hudson,M
nm0001370,Finola Hughes,F
nm0001376,Isabelle Huppert,F
nm0001379,John Huston,M
nm0001386,Natalie Imbruglia,F
nm0001389,Chris Isaak,M
nm0001393,Irène Jacob,F
nm0001394,Derek Jacobi,M
nm0001409,Tchéky Karyo,M
nm0001429,Takeshi Kitano,M
nm0001446,Michael Landon,M
nm0001447,Nathan Lane,M
nm0001449,Frank Langella,M
nm0001450,Angela Lansbury,F
nm0001458,Cloris Leachman,F
nm0001475,John Lithgow,M
nm0001477,Robyn Lively,F
nm0001527,Elizabeth McGovern,F
nm0001541,Kylie Minogue,F
nm0001549,Rita Moreno,F
nm0001593,Anna Paquin,F
nm0001597,Mandy Patinkin,M
nm0001598,Robert Patrick,M
nm0001614,Lori Petty,F
nm0001616,Mekhi Phifer,M
nm0001620,Slim Pickens,M
nm0001636,Priscilla Presley,F
nm0001650,Michael Rapaport,M
nm0001671,Diana Rigg,F
nm0001687,Gena Rowlands,F
nm0001709,Til Schweiger,M
nm0001714,Campbell Scott,M
nm0001745,Stellan Skarsgård,M
nm0001772,Patrick Stewart,M
nm0001774,Ben Stiller,M
nm0001776,Sting,M
nm0001779,Tom Stoppard,M
nm0001782,Susan Strasberg,F
nm0001786,George Takei,M
nm0001796,Richard Thomas,M
