titleID,peopleID
tt0035235,nm0279202
tt0060361,nm0526609
tt0069049,nm0000080
tt0100275,nm0749914
tt0100275,nm0765384
tt0110152,nm0612465
tt0111414,nm0398271
tt0111596,nm13648797
tt0112502,nm6883878
tt0130071,nm0838006
tt0137204,nm0365480
tt0137818,nm0638396
tt0170057,nm0199379
tt0176934,nm0956507
tt0182285,nm0130403
tt0182285,nm0510634
tt0182285,nm0717024
tt0184221,nm0024836
tt0185478,nm0773675
tt0188360,nm4131698
tt0192528,nm0667001
tt0194207,nm0056298
tt0199217,nm0100845
tt0224204,nm0687441
tt0230873,nm0169486
tt0231955,nm0439795
tt0252296,nm0164999
tt0252316,nm0671708
tt0254173,nm0267691
tt0254173,nm0544314
tt0254173,nm0637038
tt0261660,nm0080403
tt0269768,nm0205108
tt0270011,nm0389057
tt0271577,nm0211934
tt0271577,nm0212162
tt0272997,nm0007066
tt0275392,nm0039183
tt0276568,nm0413912
tt0277124,nm1222014
tt0280468,nm0154739
tt0283440,nm0905839
tt0283440,nm1549344
tt0295481,nm0971033
tt0303570,nm2526984
tt0305811,nm1108282
tt0308078,nm0258477
tt0308256,nm0258477
tt0315642,nm2349060
tt0328810,nm0784019
tt0331314,nm8625898
tt0337926,nm0285071
tt0339736,nm1274189
tt0346045,nm0021233
tt0357159,nm0612465
tt0359111,nm0612465
tt0359113,nm0612465
tt0359114,nm0612465
tt0360556,nm1023919
tt0364201,nm1768188
tt0365545,nm2223783
tt0369610,nm1119880
tt0376479,nm0000191
tt0389717,nm0787696
tt0400059,nm10151935
tt0400059,nm1367142
tt0400059,nm1870695
tt0400059,nm2692240
tt0400059,nm2884924
tt0400059,nm2907344
tt0400059,nm3533795
tt0400059,nm3973781
tt0400059,nm6964074
tt0400059,nm9788621
tt0404771,nm0016087
tt0420097,nm0815761
tt0420293,nm1547859
tt0422842,nm1672008
tt0427543,nm0853374
tt0443533,nm0586123
tt0449571,nm0385725
tt0451201,nm0853204
tt0451279,nm0420941
tt0460890,nm1989536
tt0461165,nm1877332
tt0462335,nm1296554
tt0465246,nm0595543
tt0470936,nm1596503
tt0475290,nm0001053
tt0475290,nm0001054
tt0475784,nm0001726
tt0475784,nm0003557
tt0475784,nm0003802
