ID,name,birthYear,deathYear
nm0000001,Fred Astaire,1899,1987
nm0000040,Stanley Kubrick,1928,1999
nm0000052,Marcello Mastroianni,1924,1996
nm0000060,Gregory Peck,1916,2003
nm0000062,Elvis Presley,1935,1977
nm0000080,Orson Welles,1915,1985
nm0000097,Pamela Anderson,1967,NULL
nm0000101,Dan Aykroyd,1952,NULL
nm0000102,Kevin Bacon,1958,NULL
nm0000104,Antonio Banderas,1960,NULL
nm0000111,Matthew Broderick,1962,NULL
nm0000112,Pierce Brosnan,1953,NULL
nm0000113,Sandra Bullock,1964,NULL
nm0000115,Nicolas Cage,1964,NULL
nm0000118,John Carpenter,1948,NULL
nm0000120,Jim Carrey,1962,NULL
nm0000122,Charles Chaplin,1889,1977
nm0000123,George Clooney,1961,NULL
nm0000124,Jennifer Connelly,1970,NULL
nm0000125,Sean Connery,1930,2020
nm0000129,Tom Cruise,1962,NULL
nm0000130,Jamie Lee Curtis,1958,NULL
nm0000131,John Cusack,1966,NULL
nm0000136,Johnny Depp,1963,NULL
nm0000138,Leonardo DiCaprio,1974,NULL
nm0000140,Michael Douglas,1944,NULL
nm0000143,Erika Eleniak,1969,NULL
nm0000146,Ralph Fiennes,1962,NULL
nm0000148,Harrison Ford,1942,NULL
nm0000152,Richard Gere,1949,NULL
nm0000154,Mel Gibson,1956,NULL
nm0000156,Jeff Goldblum,1952,NULL
nm0000158,Tom Hanks,1956,NULL
nm0000160,Ethan Hawke,1970,NULL
nm0000163,Dustin Hoffman,1937,NULL
nm0000165,Ron Howard,1954,NULL
nm0000168,Samuel L. Jackson,1948,NULL
nm0000173,Nicole Kidman,1967,NULL
nm0000175,Stephen King,1947,NULL
nm0000179,Jude Law,1972,NULL
nm0000182,Jennifer Lopez,1969,NULL
nm0000184,George Lucas,1944,NULL
nm0000187,Madonna,1958,NULL
nm0000188,Steve Martin,1945,NULL
nm0000190,Matthew McConaughey,1969,NULL
nm0000191,Ewan McGregor,1971,NULL
nm0000194,Julianne Moore,1960,NULL
nm0000195,Bill Murray,1950,NULL
nm0000198,Gary Oldman,1958,NULL
nm0000204,Natalie Portman,1981,NULL
nm0000210,Julia Roberts,1967,NULL
nm0000212,Meg Ryan,1961,NULL
nm0000216,Arnold Schwarzenegger,1947,NULL
nm0000217,Martin Scorsese,1942,NULL
nm0000218,Kristin Scott Thomas,1960,NULL
nm0000221,Charlie Sheen,1965,NULL
nm0000226,Will Smith,1968,NULL
nm0000229,Steven Spielberg,1946,NULL
nm0000232,Sharon Stone,1958,NULL
nm0000234,Charlize Theron,1975,NULL
nm0000242,Mark Wahlberg,1971,NULL
nm0000255,Ben Affleck,1972,NULL
nm0000264,Pedro Almodóvar,1949,NULL
nm0000271,Anne Archer,1947,NULL
nm0000274,David Arquette,1971,NULL
nm0000280,Catherine Bach,1954,NULL
nm0000285,Alec Baldwin,1958,NULL
nm0000293,Sean Bean,1959,NULL
nm0000295,Kate Beckinsale,1973,NULL
nm0000297,Tom Berenger,1949,NULL
nm0000298,Candice Bergen,1946,NULL
nm0000300,Juliette Binoche,1964,NULL
nm0000306,Brian Blessed,1936,NULL
nm0000309,David Bowie,1947,2016
nm0000316,Mel Brooks,1926,NULL
nm0000320,Luis Buñuel,1900,1983
nm0000321,Gabriel Byrne,1950,NULL
nm0000326,Kim Cattrall,1956,NULL
nm0000332,Don Cheadle,1964,NULL
nm0000333,Cher,1946,NULL
nm0000335,Glenn Close,1947,NULL
nm0000338,Francis Ford Coppola,1939,NULL
nm0000340,Cindy Crawford,1966,NULL
nm0000341,Michael Crichton,1942,2008
nm0000342,James Cromwell,1940,NULL
nm0000343,David Cronenberg,1943,NULL
nm0000345,Billy Crystal,1948,NULL
nm0000352,Vincent D'Onofrio,1959,NULL
nm0000353,Willem Dafoe,1955,NULL
nm0000354,Matt Damon,1970,NULL
nm0000358,Daniel Day-Lewis,1957,NULL
nm0000362,Danny DeVito,1944,NULL
nm0000365,Julie Delpy,1969,NULL
nm0000366,Catherine Deneuve,1943,NULL
nm0000375,Robert Downey Jr.,1965,NULL
nm0000378,Minnie Driver,1970,NULL
nm0000384,Danny Elfman,1953,NULL
nm0000391,Rupert Everett,1959,NULL
nm0000404,Jane Fonda,1937,NULL
nm0000407,Vivica A. Fox,1964,NULL
nm0000410,Stephen Fry,1957,NULL
nm0000413,Janeane Garofalo,1964,NULL
nm0000414,Teri Garr,1947,NULL
nm0000422,John Goodman,1952,NULL
nm0000424,Hugh Grant,1960,NULL
nm0000432,Gene Hackman,1930,NULL
nm0000434,Mark Hamill,1951,NULL
nm0000438,Ed Harris,1950,NULL
nm0000443,Goldie Hawn,1945,NULL
nm0000457,John Hurt,1940,2017
nm0000458,William Hurt,1950,2022
nm0000459,Timothy Hutton,1960,NULL
nm0000460,Jeremy Irons,1948,NULL
nm0000465,Ron Jeremy,1953,NULL
nm0000474,Michael Keaton,1951,NULL
nm0000484,John Landis,1950,NULL
nm0000490,Spike Lee,1957,NULL
nm0000496,Juliette Lewis,1973,NULL
nm0000502,Christopher Lloyd,1938,NULL
nm0000513,William H. Macy,1950,NULL
nm0000518,John Malkovich,1953,NULL
nm0000528,Mathilda May,1965,NULL
nm0000531,Frances McDormand,1957,NULL
nm0000535,Rose McGowan,1973,NULL
nm0000537,Steve McQueen,1930,1980
nm0000539,Dina Meyer,1968,NULL
nm0000545,Helen Mirren,1945,NULL
nm0000546,Matthew Modine,1959,NULL
nm0000550,Kate Mulgrew,1955,NULL
nm0000552,Eddie Murphy,1961,NULL
nm0000553,Liam Neeson,1952,NULL
nm0000556,Olivia Newton-John,1948,2022
nm0000557,Brigitte Nielsen,1963,NULL
nm0000586,Jada Pinkett Smith,1971,NULL
nm0000588,Martha Plimpton,1970,NULL
nm0000598,Dennis Quaid,1954,NULL
nm0000604,John C. Reilly,1965,NULL
nm0000607,Paul Reubens,1952,NULL
nm0000608,Burt Reynolds,1936,2018
nm0000610,Giovanni Ribisi,1974,NULL
nm0000613,Joely Richardson,1965,NULL
nm0000631,Ridley Scott,1937,NULL
nm0000647,Alan Smithee,NULL,NULL
nm0000658,Meryl Streep,1949,NULL
nm0000671,Billy Bob Thornton,1955,NULL
nm0000684,Nana Visitor,1957,NULL
nm0000695,Joanne Whalley,1961,NULL
nm0000701,Kate Winslet,1975,NULL
nm0000702,Reese Witherspoon,1976,NULL
nm0000704,Elijah Wood,1981,NULL
nm0000705,Robin Wright,1966,NULL
nm0000716,Paula Abdul,1962,NULL
nm0000719,F. Murray Abraham,1939,NULL
nm0000728,Mario Adorf,1930,NULL
nm0000756,Loni Anderson,1945,NULL
nm0000759,Paul Thomas Anderson,1970,NULL
nm0000768,Francesca Annis,1945,NULL
nm0000770,David Anspaugh,1946,NULL
nm0000783,Dario Argento,1940,NULL
nm0000791,Jack Arnold,1912,1992
nm0000808,Paul Auster,1947,NULL
nm0000809,Daniel Auteuil,1950,NULL
nm0000821,Amitabh Bachchan,1942,NULL
nm0000851,Lex Barker,1919,1973
nm0000852,Jean-Marc Barr,1960,NULL
nm0000860,Paul Bartel,1938,2000
nm0000869,Alan Bates,1934,2003
nm0000870,Kathy Bates,1948,NULL
nm0000875,L. Frank Baum,1856,1919
nm0000881,Michael Bay,1965,NULL
nm0000888,Meret Becker,1969,NULL
nm0000893,Ed Begley Jr.,1949,NULL
nm0000899,Monica Bellucci,1964,NULL
nm0000905,Roberto Benigni,1952,NULL
nm0000906,Annette Bening,1958,NULL
nm0000909,Constance Bennett,1904,1965
nm0000912,Jack Benny,1894,1974
nm0000915,Bruce Beresford,1940,NULL
nm0000916,Peter Berg,1964,NULL
nm0000919,Senta Berger,1941,NULL
nm0000925,Steven Berkoff,1937,NULL
nm0000934,Bernardo Bertolucci,1941,2018
nm0000945,Jane Birkin,1946,NULL
nm0000949,Cate Blanchett,1969,NULL
nm0000950,Brenda Blethyn,1946,NULL
nm0000953,Peter Bogdanovich,1939,2022
nm0000954,Jon Bon Jovi,1962,NULL
nm0000982,Josh Brolin,1968,NULL
nm0000989,Yul Brynner,1920,1985
nm0000997,Gary Busey,1944,NULL
nm0001002,Dean Cain,1966,NULL
nm0001003,Simon Callow,1949,NULL
nm0001014,Mariah Carey,1969,NULL
nm0001018,Keith Carradine,1949,NULL
nm0001023,John Cassavetes,1929,1989
nm0001048,Andrew Dice Clay,1957,NULL
nm0001051,Bill Clinton,1946,NULL
nm0001053,Ethan Coen,1957,NULL
nm0001054,Joel Coen,1954,NULL
nm0001057,Toni Collette,1972,NULL
nm0001058,Joan Collins,1933,NULL
nm0001060,Chris Columbus,1958,NULL
nm0001075,Peter Coyote,1941,NULL
nm0001076,Joan Crawford,1905,1977
nm0001082,Billy Crudup,1968,NULL
nm0001086,Alan Cumming,1965,NULL
nm0001092,Mark Dacascos,1964,NULL
nm0001095,Béatrice Dalle,1964,NULL
nm0001097,Charles Dance,1946,NULL
nm0001099,Jeff Daniels,1955,NULL
nm0001102,Joe Dante,1946,NULL
nm0001116,Warwick Davis,1970,NULL
nm0001136,Bruce Dern,1936,NULL
nm0001141,Angie Dickinson,1931,NULL
nm0001144,Céline Dion,1968,NULL
nm0001160,Adrian Dunbar,1958,NULL
nm0001180,Britt Ekland,1942,NULL
nm0001190,David Prowse,1935,2020
nm0001208,Miguel Ferrer,1955,2017
nm0001218,Sean Patrick Flanery,1965,NULL
nm0001224,Errol Flynn,1909,1959
nm0001233,Robert Forster,1941,2019
nm0001235,William Forsythe,1955,NULL
nm0001241,Stephen Frears,1941,NULL
nm0001248,Zsa Zsa Gabor,1917,2016
nm0001264,Sarah Michelle Gellar,1977,NULL
nm0001281,Bobcat Goldthwait,1962,NULL
nm0001283,Louis Gossett Jr.,1936,NULL
nm0001285,Elliott Gould,1938,NULL
nm0001288,Kelsey Grammer,1955,NULL
nm0001290,Richard E. Grant,1957,NULL
nm0001296,Lorne Greene,1915,1987
nm0001300,John Grisham,1955,NULL
nm0001312,Geri Horner,1972,NULL
nm0001325,Hal Hartley,1959,NULL
nm0001331,Todd Haynes,1961,NULL
nm0001352,Terence Hill,1939,NULL
nm0001353,Walter Hill,1942,NULL
nm0001354,Ciarán Hinds,1953,NULL
nm0001368,Ernie Hudson,1945,NULL
nm0001370,Finola Hughes,1959,NULL
nm0001376,Isabelle Huppert,1953,NULL
nm0001379,John Huston,1906,1987
nm0001386,Natalie Imbruglia,1975,NULL
nm0001389,Chris Isaak,1956,NULL
nm0001392,Peter Jackson,1961,NULL
nm0001393,Irène Jacob,1966,NULL
nm0001394,Derek Jacobi,1938,NULL
nm0001409,Tchéky Karyo,1953,NULL
nm0001429,Takeshi Kitano,1947,NULL
nm0001438,Neil LaBute,1963,NULL
nm0001446,Michael Landon,1936,1991
nm0001447,Nathan Lane,1956,NULL
nm0001449,Frank Langella,1938,NULL
nm0001450,Angela Lansbury,1925,2022
nm0001458,Cloris Leachman,1926,2021
nm0001475,John Lithgow,1945,NULL
nm0001477,Robyn Lively,1972,NULL
nm0001490,Adrian Lyne,1941,NULL
nm0001527,Elizabeth McGovern,1961,NULL
nm0001541,Kylie Minogue,1968,NULL
nm0001549,Rita Moreno,1931,NULL
nm0001553,Ennio Morricone,1928,2020
nm0001593,Anna Paquin,1982,NULL
nm0001597,Mandy Patinkin,1952,NULL
nm0001598,Robert Patrick,1958,NULL
nm0001614,Lori Petty,1963,NULL
nm0001616,Mekhi Phifer,1974,NULL
nm0001620,Slim Pickens,1919,1983
nm0001636,Priscilla Presley,1945,NULL
nm0001650,Michael Rapaport,1970,NULL
nm0001671,Diana Rigg,1938,2020
nm0001676,Nicolas Roeg,1928,2018
nm0001687,Gena Rowlands,1930,NULL
nm0001707,Paul Schrader,1946,NULL
nm0001709,Til Schweiger,1963,NULL
nm0001714,Campbell Scott,1961,NULL
nm0001745,Stellan Skarsgård,1951,NULL
nm0001772,Patrick Stewart,1940,NULL
nm0001774,Ben Stiller,1965,NULL
nm0001776,Sting,1951,NULL
nm0001779,Tom Stoppard,1937,NULL
nm0001782,Susan Strasberg,1938,1999
nm0001786,George Takei,1937,NULL
nm0001796,Richard Thomas,1951,NULL
nm0001803,Danny Trejo,1944,NULL
nm0001805,Lana Turner,1921,1995
nm0001861,Katarina Witt,1965,NULL
nm0001877,Hans Zimmer,1957,NULL
nm0001898,Bryan Adams,1959,NULL
nm0001925,Johann Sebastian Bach,1685,1750
nm0001929,Josiane Balasko,1950,NULL
