tconst,parentTconst,seasonNumber,episodeNumber
tt10007332,tt10006462,1,1
tt10007344,tt10006462,1,2
tt10007360,tt10006462,1,3
tt10007368,tt10006462,1,4
tt10007374,tt10006462,1,5
tt10007376,tt10006462,1,6
tt10007380,tt10006462,1,7
tt10007390,tt10006462,1,8
tt10007400,tt10006462,1,9
tt10007410,tt10006462,1,10
tt10007420,tt10006462,1,11
tt10007428,tt10006462,1,12
tt10007432,tt10006462,1,13
tt10007636,tt10006098,1,1
tt10007664,tt10006098,1,2
tt10007690,tt10006098,1,3
tt10007694,tt10006098,1,4
tt10007720,tt10006098,1,5
tt10007740,tt10006098,1,6
tt10007744,tt10006098,1,7
tt10009588,tt10003340,1,1
tt10010078,tt10005086,1,1
tt10010114,tt10005086,1,2
tt10010122,tt10005086,1,3
tt10010128,tt10005086,1,4
tt10010160,tt10005086,1,5
tt10010164,tt10005086,1,6
tt10010168,tt10005086,1,7
tt10010182,tt10005086,1,8
tt10010186,tt10005086,1,9
tt10010194,tt10005086,1,10
tt10011308,tt10011234,1,1
tt10014818,tt10004066,1,1
tt10014834,tt10004066,1,2
tt10014850,tt10004066,1,3
tt10014858,tt10004066,1,4
tt10014892,tt10004066,1,5
tt10014910,tt10004066,1,6
tt10014916,tt10004066,1,7
tt10014922,tt10004066,1,8
tt10014930,tt10004066,1,9
tt10014942,tt10004066,1,10
tt10014946,tt10004066,1,11
tt10014996,tt10004066,1,12
tt10015000,tt10004066,1,13
tt10015012,tt10003340,1,2
tt10015016,tt10003340,1,3
tt10015020,tt10003340,1,4
tt10015348,tt10015170,1,1
tt10015350,tt10015170,1,2
tt10015828,tt10011800,1,63
tt10015830,tt10011800,1,61
tt10015832,tt10011800,1,62
tt10015834,tt10011800,1,6
tt10015836,tt10011800,1,56
tt10015838,tt10011800,1,57
tt10015840,tt10011800,1,58
tt10015842,tt10011800,1,55
tt10015844,tt10011800,1,54
tt10015846,tt10011800,1,59
tt10015848,tt10011800,1,53
tt10015850,tt10011800,1,5
tt10015852,tt10011800,1,51
tt10015854,tt10011800,1,52
tt10015856,tt10011800,1,49
tt10015858,tt10011800,1,46
tt10015860,tt10011800,1,43
tt10015862,tt10011800,1,47
tt10015864,tt10011800,1,48
tt10015866,tt10011800,1,44
tt10015868,tt10011800,1,41
tt10015870,tt10011800,1,42
tt10015872,tt10011800,1,45
tt10015874,tt10011800,1,38
tt10015876,tt10011800,1,4
tt10015878,tt10011800,1,37
tt10015880,tt10011800,1,39
tt10015882,tt10011800,1,36
tt10015888,tt10011800,1,35
tt10015890,tt10011800,1,34
tt10015892,tt10011800,1,33
tt10015894,tt10011800,1,32
tt10015896,tt10011800,1,31
tt10015902,tt10011800,1,28
tt10015904,tt10011800,1,26
tt10015906,tt10011800,1,25
tt10015908,tt10011800,1,24
tt10015910,tt10011800,1,21
tt10015912,tt10011800,1,27
tt10015914,tt10011800,1,23
tt10015916,tt10011800,1,22
tt10015920,tt10011800,1,19
tt10015922,tt10011800,1,17
tt10015924,tt10011800,1,16
tt10015926,tt10011800,1,15
tt10015928,tt10011800,1,18
tt10015932,tt10011800,1,9
tt10015934,tt10011800,1,14
tt10015936,tt10011800,1,12
tt10015938,tt10011800,1,11
tt10015940,tt10011800,1,13
tt10015944,tt10011800,1,8
tt10015950,tt10011800,1,7
tt10015952,tt10011800,1,3
tt10015954,tt10011800,1,2
tt10015956,tt10011800,1,1
tt10015976,tt10011246,1,2
tt10015978,tt10011246,1,3
tt10015980,tt10011246,1,4
tt10015982,tt10011246,1,5
tt10015984,tt10011246,1,6
tt10015986,tt10011246,1,7
tt10015988,tt10011246,1,8
tt10015990,tt10011246,1,9
tt10015992,tt10011246,1,1
tt10015994,tt10011612,1,3
tt10015996,tt10011612,1,2
tt10015998,tt10011612,1,1
tt10016000,tt10011612,1,4
tt10016002,tt10011612,1,6
tt10016004,tt10011664,1,1
tt10016006,tt10011612,1,7
tt10016008,tt10011664,1,2
tt10016010,tt10011664,1,3
tt10016012,tt10011664,1,4
tt10016014,tt10011676,1,1
tt10016016,tt10011664,1,5
tt10016018,tt10011676,1,2
tt10016020,tt10011676,1,3
tt10016022,tt10011676,1,4
tt10016024,tt10011676,1,5
tt10016026,tt10011784,1,1
tt10016030,tt10011784,1,2
tt10016032,tt10011784,1,3
tt10016034,tt10011784,1,4
tt10016036,tt10011784,1,5
tt10016040,tt10011796,1,1
