titleID,writer
tt0069049,nm0000080
tt0069049,nm0462648
tt0100275,nm0749914
tt0100275,nm1360635
tt0111414,nm0398271
tt0111596,nm1073524
tt0111596,nm1283850
tt0137204,nm0365480
tt0137818,nm0309225
tt0137818,nm0638396
tt0176934,nm0956507
tt0182285,nm0130403
tt0182285,nm0510634
tt0182285,nm0717024
tt0192528,nm0667001
tt0269768,nm0205108
tt0272997,nm0007066
tt0275392,nm0000875
tt0275392,nm0039183
tt0277124,nm1221885
tt0277124,nm1222014
tt0277124,nm1222561
tt0283440,nm0501350
tt0283440,nm1549215
tt0283440,nm1549344
tt0315642,nm0006765
tt0315642,nm0430785
tt0315642,nm1249226
tt0315642,nm2349060
tt0315642,nm3871075
tt0315642,nm5241801
tt0328810,nm0784019
tt0328810,nm1383798
tt0328810,nm2832163
tt0331314,nm0630057
tt0331314,nm0908438
tt0337926,nm0138676
tt0337926,nm0285071
tt0337926,nm0730422
tt0337926,nm1412474
tt0339736,nm1274189
tt0346045,nm0021233
tt0346045,nm4674214
tt0346045,nm8031088
tt0360556,nm0001969
tt0360556,nm0618881
tt0360556,nm1023919
tt0364201,nm1768188
tt0365545,nm0111845
tt0365545,nm10021676
tt0365545,nm1946260
tt0369610,nm0000341
tt0369610,nm0415425
tt0369610,nm0798646
tt0369610,nm1119880
tt0369610,nm2081046
tt0376479,nm0738908
tt0376479,nm0744980
tt0380870,nm13995470
tt0400059,nm6628470
tt0420097,nm0404093
tt0420097,nm0815761
tt0420097,nm1652153
tt0420293,nm0848003
tt0420293,nm1674354
tt0422842,nm1802452
tt0427543,nm0294580
tt0427543,nm0853374
tt0427543,nm1093951
tt0443533,nm0586123
tt0443533,nm0738925
tt0443533,nm1842569
tt0449571,nm0385725
tt0451201,nm0853204
tt0451201,nm1913942
tt0451201,nm2184396
tt0451279,nm0297229
tt0451279,nm0374302
tt0451279,nm0551376
tt0451279,nm0811583
tt0451279,nm4243936
tt0460890,nm1615610
tt0461165,nm1877332
tt0462335,nm0050618
tt0462335,nm4207229
tt0465246,nm0485133
tt0470936,nm0238390
tt0470936,nm1596503
tt0475290,nm0001053
tt0475290,nm0001054
tt0475784,nm0000341
tt0475784,nm0634300
tt0475784,nm2847370
tt0475784,nm3090268
tt0478970,nm0180428
tt0478970,nm0498278
tt0478970,nm0570912
tt0478970,nm0748620
tt0478970,nm0942367
tt0478970,nm1293367
tt0490215,nm0000217
tt0490215,nm0168379
tt0490215,nm0256870
tt0491175,nm0000123
tt0491175,nm0001053
tt0491175,nm0001054
tt0491175,nm0381416
tt0491203,nm0001779
tt0491203,nm0595738
tt0493076,nm0607725
tt0493405,nm0743121
tt0493405,nm1009277
tt0498381,nm0326040
tt0498381,nm0521649
tt0498381,nm0840626
tt0498381,nm1096524
tt0547385,nm0417224
tt0547435,nm0417224
tt0547535,nm0417224
tt0547546,nm0417224
tt0547557,nm0417224
tt0547568,nm0417224
tt0547579,nm0417224
tt0547581,nm0417224
tt0547582,nm0417224
tt0547775,nm0417224
tt0547786,nm0417224
tt0547797,nm0417224
tt0547804,nm0417224
tt0547805,nm0417224
tt0548123,nm0417224
tt0548291,nm0417224
tt0548292,nm0417224
tt0548293,nm0417224
tt0548854,nm0417224
tt0548865,nm0417224
tt0548876,nm0417224
tt0548887,nm0417224
tt0548896,nm0417224
tt0548897,nm0417224
tt0548898,nm0417224
tt0548901,nm0417224
tt0564465,nm0204651
tt0564465,nm0235335
tt0564465,nm0670035
tt0658096,nm0322799
tt0658096,nm0825506
tt0658096,nm0919352
tt0658097,nm0322799
tt0658097,nm0919352
tt0658106,nm0322799
tt0658106,nm0463124
tt0658106,nm0514439
tt0658106,nm0919352
tt0658114,nm0322799
tt0658114,nm0718686
tt0658114,nm0919352
tt0658117,nm0049747
tt0658117,nm0066864
tt0658117,nm0322799
tt0658117,nm0919352
tt0658124,nm0049747
